latitude, longitude, time-stamp, count, trail_number, local_group_number
23.5642033333,87.2830883333,107.60,1280,1,1
23.55933,87.2847,88.40,69,1,2
23.555085,87.2856933333,90.30,88,1,3
23.5511716667,87.2860016667,87.30,30,1,4
23.55006,87.2851066667,86.50,8,1,5
23.547065,87.28273,83.10,8,1,6
23.537535,87.2967766667,93.10,22,1,7
23.53677,87.29624,95.90,12,1,8
23.535725,87.2977533333,91.70,302,1,9
23.5281966667,87.311165,102.70,6,1,10
23.527095,87.31118,98.80,70,1,11
23.5259966667,87.31118,101.90,7,1,12
23.5192733333,87.3112616667,103.20,1,1,13
23.5112133333,87.3106433333,93.40,1,1,14
23.5002716667,87.306005,84.20,8,1,15
23.4946816667,87.316845,71.10,1,1,16
