latitude, longitude, time-stamp, count, trail_number, local_group_number
23.564335,87.282925,100.50,107,4,1
23.5657633333,87.2849283333,99.40,2303,4,2
23.5642,87.283105,104.00,493,4,3
23.561865,87.2832666667,92.00,11,4,4
23.5593083333,87.2847,92.20,17,4,5
23.555985,87.2863266667,92.90,3,4,6
23.55502,87.285725,92.40,1,4,7
23.5500483333,87.2851066667,84.70,4,4,8
23.5482333333,87.283675,81.20,5,4,9
23.5430283333,87.2904783333,90.80,3,4,10
23.5392766667,87.2930816667,91.40,9,4,11
23.5389966667,87.29453,91.20,4,4,12
23.5375066667,87.29676,97.30,21,4,13
23.5360916667,87.2958816667,92.70,5,4,14
23.5356766667,87.2975083333,92.90,283,4,15
23.5275583333,87.3111483333,107.60,42,4,16
23.503645,87.3077633333,91.70,12,4,17
23.494755,87.3168766667,73.90,278,4,18
