latitude, longitude, time-stamp, count, trail_number, local_group_number
23.564225,87.2831216667,96.50,645,5,1
23.5593583333,87.2847316667,88.60,3,5,2
23.555065,87.2857583333,89.50,17,5,3
23.5512083333,87.286035,82.40,6,5,4
23.5482366667,87.283675,76.20,7,5,5
23.5470616667,87.28273,77.00,6,5,6
23.5427883333,87.2865233333,84.30,13,5,7
23.539135,87.2933416667,87.20,5,5,8
23.5388833333,87.2947916667,88.50,9,5,9
23.537565,87.2967933333,92.00,33,5,10
23.535705,87.2975416667,85.50,300,5,11
23.52821,87.311165,99.60,17,5,12
23.51938,87.311295,101.20,19,5,13
23.503625,87.3076983333,80.80,26,5,14
23.50032,87.3059716667,80.20,16,5,15
