latitude, longitude, time-stamp,trail_number
23.5642116667,87.28291,93.10,26,7
23.5642116667,87.282925,93.30,36,7
23.5642116667,87.28291,93.00,200,7
23.5642116667,87.282925,93.00,71,7
23.564175,87.28304,94.80,1,7
23.5641716667,87.28304,95.50,242,7
23.5641666667,87.28304,96.10,72,7
23.5641666667,87.283055,96.80,74,7
23.5641716667,87.283055,95.90,1,7
23.564175,87.283055,95.20,6,7
23.56418,87.283055,93.60,69,7
23.5641833333,87.283055,93.20,1,7
23.56418,87.283055,93.20,7,7
23.5641833333,87.283055,93.20,126,7
23.5641833333,87.2830716667,93.50,15,7
23.559395,87.284635,88.00,52,7
23.5578966667,87.285465,90.90,2,7
23.5578933333,87.285465,91.00,11,7
23.5556666667,87.2855616667,90.10,1,7
23.5556666667,87.2855466667,90.30,2,7
23.555025,87.2857083333,87.90,8,7
23.55397,87.2863266667,84.70,1,7
23.55395,87.2863433333,85.00,8,7
23.5500233333,87.28509,79.50,1,7
23.5500283333,87.28509,79.80,18,7
23.5481716667,87.283625,75.00,14,7
23.5470416667,87.2827133333,77.10,1,7
23.5470416667,87.2827133333,77.30,1,7
23.54416,87.28369,79.30,13,7
23.542985,87.2904933333,86.00,1,7
23.54298,87.2904933333,86.00,4,7
23.5393916667,87.2930816667,81.90,16,7
23.5393833333,87.2930816667,82.00,1,7
23.5375233333,87.29676,91.70,1,7
23.5375233333,87.2967766667,92.20,51,7
23.5359983333,87.2958333333,88.60,1,7
23.53599,87.2958333333,88.60,10,7
23.535985,87.2958333333,88.40,1,7
23.535705,87.2976716667,84.70,1,7
23.535705,87.2976716667,84.50,88,7
23.5357166667,87.2978183333,84.30,2,7
23.5357166667,87.297835,84.10,3,7
23.5357166667,87.297835,84.40,9,7
23.5357216667,87.297835,84.40,92,7
23.5357083333,87.2978666667,84.90,51,7
23.5354083333,87.2986483333,86.30,1,7
23.5354033333,87.2986483333,86.10,20,7
23.5281316667,87.3111483333,99.00,8,7
23.5272933333,87.3111483333,103.80,10,7
23.5193466667,87.3112616667,107.40,63,7
23.5193433333,87.3112616667,107.50,9,7
23.510815,87.3106933333,95.20,3,7
23.5036083333,87.3077133333,87.50,1,7
23.50362,87.3077133333,88.60,13,7
23.500345,87.3059716667,86.50,2,7
23.5001666667,87.3060383333,86.40,1,7
23.4965116667,87.3134916667,75.10,3,7
23.4965166667,87.3134916667,75.30,2,7
