latitude, longitude, time-stamp, count, trail_number, local_group_number
23.5642116667,87.2831533333,96.00,1756,3,1
23.5593383333,87.2847316667,90.10,18,3,2
23.55804,87.285465,92.00,6,3,3
23.55603,87.2863433333,90.60,17,3,4
23.5550733333,87.285725,90.70,15,3,5
23.5539916667,87.2863433333,86.40,1,3,6
23.552465,87.2870433333,86.00,2,3,7
23.551245,87.2860016667,88.40,7,3,8
23.55008,87.28509,86.90,8,3,9
23.54825,87.2836416667,83.30,117,3,10
23.5470933333,87.2827133333,84.10,5,3,11
23.545345,87.2812983333,82.10,7,3,12
23.5444983333,87.2828933333,81.30,9,3,13
23.5428533333,87.2863916667,85.10,2,3,14
23.5430933333,87.2904933333,86.90,5,3,15
23.5416533333,87.2900216667,90.40,3,3,16
23.539375,87.2930983333,88.30,12,3,17
23.5375566667,87.2967766667,97.60,25,3,18
23.5357583333,87.2978183333,90.80,109,3,19
23.5271483333,87.3112133333,100.50,59,3,20
23.5193033333,87.3112616667,105.40,1,3,21
23.5036083333,87.3076983333,90.20,9,3,22
23.50028,87.3059883333,87.20,10,3,23
23.4963333333,87.313915,77.70,3,3,24
23.4946816667,87.3168283333,73.00,372,3,25
