latitude, longitude, time-stamp,trail_number
23.56424,87.2830716667,94.10,524,3
23.564225,87.2831366667,95.30,1,3
23.5642166667,87.2831533333,95.50,16,3
23.5642116667,87.2831533333,95.50,138,3
23.5642166667,87.2831533333,95.70,156,3
23.5642116667,87.2831533333,96.00,906,3
23.5642116667,87.28317,98.30,1,3
23.5642033333,87.28317,98.40,1,3
23.5641916667,87.2832016667,98.00,7,3
23.5641516667,87.2833483333,97.70,1,3
23.5641266667,87.2834133333,97.10,1,3
23.5641233333,87.28343,96.90,3,3
23.5641233333,87.2834466667,96.70,1,3
23.5593333333,87.2847316667,90.40,1,3
23.5593383333,87.2847316667,90.10,17,3
23.558035,87.285465,92.20,1,3
23.55804,87.285465,92.00,5,3
23.5560333333,87.2863433333,90.50,4,3
23.55603,87.2863433333,90.60,7,3
23.5560333333,87.2863433333,90.70,6,3
23.555545,87.2854816667,93.20,1,3
23.555545,87.2854816667,93.20,1,3
23.5550766667,87.285725,90.70,1,3
23.5550733333,87.285725,90.70,12,3
23.5539916667,87.2863433333,86.40,1,3
23.552465,87.2870433333,86.00,2,3
23.551245,87.2860183333,88.20,1,3
23.551245,87.2860016667,88.40,6,3
23.550085,87.28509,86.60,2,3
23.55008,87.28509,86.90,6,3
23.5482583333,87.2836583333,83.00,36,3
23.54825,87.2836416667,83.30,76,3
23.5482166667,87.28361,83.20,1,3
23.5482133333,87.28361,83.30,4,3
23.5470933333,87.2827133333,84.10,5,3
23.5453483333,87.2812983333,81.50,2,3
23.545345,87.2812983333,82.10,5,3
23.5444983333,87.2828933333,81.30,9,3
23.5428533333,87.2863916667,85.10,1,3
23.5427966667,87.2865233333,84.50,1,3
23.543135,87.2904133333,86.20,1,3
23.5430933333,87.2904933333,86.90,4,3
23.5416533333,87.2900216667,90.40,1,3
23.5416583333,87.2900216667,90.20,1,3
23.5416533333,87.2900216667,90.30,1,3
23.539375,87.2930983333,88.30,12,3
23.5375566667,87.2967766667,97.60,24,3
23.5375483333,87.2967766667,97.80,1,3
23.5357083333,87.2975083333,88.40,1,3
23.535705,87.297525,88.40,1,3
23.5357,87.297525,88.10,33,3
23.5357,87.2975583333,88.70,2,3
23.535725,87.2976233333,89.70,1,3
23.5357333333,87.2976716667,89.90,1,3
23.5357416667,87.29772,90.20,1,3
23.5357583333,87.2978183333,90.60,2,3
23.5357583333,87.2978183333,90.80,66,3
23.5357583333,87.297835,90.80,1,3
23.5271483333,87.3112133333,100.50,59,3
23.5193033333,87.3112616667,105.40,1,3
23.5036083333,87.3076983333,90.20,9,3
23.50028,87.3059883333,87.20,10,3
23.4963416667,87.3138983333,77.70,1,3
23.4963333333,87.313915,77.70,1,3
23.4963283333,87.313915,77.80,1,3
23.4946883333,87.3168283333,72.80,1,3
23.494685,87.3168283333,72.90,1,3
23.4946816667,87.3168283333,73.00,370,3
