latitude, longitude, time-stamp,trail_number
23.564335,87.282925,100.50,66,4
23.5643266667,87.282925,100.50,1,4
23.564,87.2838366667,99.90,6,4
23.564005,87.2838366667,100.00,21,4
23.5640083333,87.2838533333,100.00,8,4
23.5640133333,87.2838533333,100.10,5,4
23.565705,87.2849116667,99.20,1,4
23.565705,87.2849116667,99.10,1,4
23.56571,87.2849116667,99.00,5,4
23.5657133333,87.2849116667,99.10,2,4
23.5657183333,87.2849116667,99.00,1,4
23.5657266667,87.2849116667,99.00,1,4
23.56573,87.2849116667,99.00,229,4
23.5657333333,87.2849116667,99.00,177,4
23.5657383333,87.2849116667,99.30,92,4
23.5657416667,87.2849116667,99.40,71,4
23.5657466667,87.2849116667,99.30,188,4
23.56575,87.2849116667,99.40,112,4
23.565755,87.2849116667,99.30,208,4
23.5657583333,87.2849116667,99.40,199,4
23.5657633333,87.2849116667,99.40,6,4
23.5657633333,87.2849283333,99.40,357,4
23.5657666667,87.2849283333,99.50,216,4
23.56577,87.2849283333,99.60,286,4
23.565775,87.2849283333,99.70,113,4
23.5657783333,87.2849283333,100.00,7,4
23.565775,87.2849283333,100.00,3,4
23.56577,87.2849283333,100.00,1,4
23.5657633333,87.2849283333,100.10,18,4
23.5657266667,87.2849283333,101.90,2,4
23.5657216667,87.2849283333,102.30,1,4
23.5657216667,87.2849283333,102.50,1,4
23.5657266667,87.2849283333,102.70,5,4
23.564335,87.2825183333,101.80,6,4
23.56433,87.282535,102.50,1,4
23.56422,87.2830883333,101.80,2,4
23.5642166667,87.283105,102.20,10,4
23.5642116667,87.283105,102.30,1,4
23.5641833333,87.2831533333,102.90,3,4
23.5641966667,87.2831216667,103.40,5,4
23.5642,87.283105,104.00,303,4
23.5641966667,87.283105,104.10,90,4
23.5642,87.2831216667,105.30,5,4
23.5641966667,87.2831216667,107.30,7,4
23.5642,87.2831216667,109.00,60,4
23.561865,87.2832666667,92.00,11,4
23.5593083333,87.2847,92.20,17,4
23.555985,87.2863266667,92.90,3,4
23.55502,87.285725,92.40,1,4
23.55004,87.2851066667,83.80,1,4
23.5500483333,87.2851066667,84.70,3,4
23.5482366667,87.283675,81.40,1,4
23.5482333333,87.283675,81.20,4,4
23.5430283333,87.2904783333,90.80,2,4
23.5428383333,87.2904933333,92.80,1,4
23.5392766667,87.2930816667,91.40,9,4
23.539,87.2945133333,90.50,1,4
23.5389966667,87.29453,91.20,3,4
23.5375066667,87.29676,97.30,19,4
23.5370833333,87.2964666667,99.90,1,4
23.53708,87.2964516667,99.90,1,4
23.536095,87.2958816667,92.90,1,4
23.5360916667,87.2958816667,92.70,2,4
23.5360866667,87.2958816667,92.70,2,4
23.5356766667,87.2974766667,93.10,54,4
23.5356716667,87.2974766667,93.00,3,4
23.5356716667,87.2974933333,93.00,56,4
23.5356766667,87.2974933333,93.00,1,4
23.5356766667,87.2975083333,92.90,153,4
23.5357,87.297835,96.10,3,4
23.535705,87.29785,97.00,12,4
23.5357,87.2978666667,97.60,1,4
23.5281533333,87.311165,109.30,7,4
23.528125,87.311165,109.40,1,4
23.5275633333,87.311165,107.30,2,4
23.5275583333,87.3111483333,107.60,32,4
23.503645,87.3077633333,91.70,7,4
23.5036483333,87.3077633333,91.70,4,4
23.503645,87.3077633333,91.70,1,4
23.4947583333,87.3168766667,74.10,1,4
23.494755,87.3168766667,73.90,229,4
23.4947466667,87.3168766667,73.90,1,4
23.494725,87.3168616667,74.00,1,4
23.4947216667,87.3168616667,74.30,46,4
