latitude, longitude, time-stamp, count, trail_number, local_group_number
23.564225,87.2831216667,96.50,388,5,1
23.56422,87.2831216667,97.10,19,5,1
23.564225,87.2831216667,97.10,235,5,1
23.56422,87.2831216667,97.10,1,5,1
23.5642116667,87.28317,96.90,1,5,1
23.5641716667,87.2833,94.90,1,5,1
23.5593583333,87.2847316667,88.60,3,5,2
23.5550616667,87.2857416667,89.20,1,5,3
23.555065,87.2857583333,89.50,16,5,3
23.5512083333,87.286035,82.40,6,5,4
23.5482366667,87.283675,76.20,7,5,5
23.547065,87.28273,76.00,2,5,6
23.5470616667,87.28273,77.00,3,5,6
23.546695,87.2824366667,76.40,1,5,6
23.542785,87.2865233333,84.40,1,5,7
23.5427883333,87.2865233333,84.30,12,5,7
23.5391316667,87.2933416667,86.90,1,5,8
23.539135,87.2933416667,87.20,4,5,8
23.5388833333,87.2948066667,88.00,1,5,9
23.5388833333,87.2947916667,88.50,7,5,9
23.5388783333,87.2948066667,88.50,1,5,9
23.537565,87.2967933333,92.00,32,5,10
23.53756,87.2967933333,92.10,1,5,10
23.535705,87.297525,85.00,1,5,11
23.535705,87.2975416667,85.50,73,5,11
23.5357083333,87.2975416667,85.30,2,5,11
23.5357133333,87.2975583333,85.20,1,5,11
23.5357166667,87.2975733333,85.80,1,5,11
23.5357166667,87.29759,86.90,7,5,11
23.5357366667,87.2976716667,88.50,1,5,11
23.5357366667,87.2976883333,88.90,1,5,11
23.5357333333,87.2976883333,89.60,7,5,11
23.5357333333,87.2976883333,88.80,31,5,11
23.5357366667,87.297705,89.50,19,5,11
23.5357416667,87.297705,89.60,19,5,11
23.5357366667,87.297705,89.80,12,5,11
23.5357416667,87.297705,89.90,35,5,11
23.5357366667,87.297705,89.90,18,5,11
23.5357366667,87.29772,90.00,10,5,11
23.5357416667,87.29772,90.00,7,5,11
23.53577,87.29785,89.60,1,5,11
23.5357733333,87.29785,89.70,1,5,11
23.53577,87.29785,89.90,1,5,11
23.5357733333,87.29785,89.80,47,5,11
23.5357733333,87.2978666667,89.90,1,5,11
23.53546,87.298665,87.50,4,5,11
23.52821,87.311165,99.60,17,5,12
23.519375,87.311295,101.30,1,5,13
23.51938,87.311295,101.20,18,5,13
23.50362,87.3076983333,80.50,1,5,14
23.503625,87.3076983333,80.80,25,5,14
23.50032,87.3059883333,80.30,1,5,15
23.50032,87.3059716667,80.20,7,5,15
23.5003116667,87.3059883333,80.20,1,5,15
23.500215,87.306005,80.60,7,5,15
