latitude, longitude, time-stamp,trail_number
23.5641516667,87.282975,121.70,3,1
23.5641433333,87.282975,118.50,1,1
23.5641666667,87.2830066667,114.70,1,1
23.5641666667,87.28299,109.80,2,1
23.5641666667,87.2830066667,106.90,1,1
23.5641633333,87.2830066667,107.00,1,1
23.564155,87.28304,110.00,8,1
23.56416,87.28304,109.80,1,1
23.56416,87.283055,109.80,11,1
23.5641633333,87.28304,109.60,2,1
23.5641666667,87.28304,109.60,7,1
23.5641716667,87.28304,109.60,2,1
23.564175,87.28304,109.60,4,1
23.5641716667,87.2830233333,109.50,4,1
23.5641666667,87.2830233333,109.50,3,1
23.5641666667,87.28304,109.40,3,1
23.5641716667,87.28304,109.50,2,1
23.5641666667,87.28304,109.60,1,1
23.5641833333,87.2830233333,109.50,1,1
23.56422,87.282975,109.50,1,1
23.564225,87.28299,111.80,1,1
23.564225,87.282975,111.30,4,1
23.56422,87.282975,111.30,1,1
23.5642116667,87.282975,111.30,1,1
23.5642333333,87.28299,108.50,2,1
23.564225,87.28299,109.60,2,1
23.5642166667,87.28299,111.00,1,1
23.5642116667,87.28299,111.20,1,1
23.5642283333,87.282975,111.70,2,1
23.564225,87.282975,110.20,63,1
23.5642283333,87.282975,109.10,1,1
23.5642333333,87.282975,109.00,4,1
23.56424,87.28299,108.40,4,1
23.564245,87.28299,107.90,4,1
23.5642483333,87.28299,107.00,7,1
23.5642483333,87.2830066667,105.90,205,1
23.564245,87.2830066667,105.70,93,1
23.56424,87.2830066667,105.90,15,1
23.564225,87.283055,106.30,1,1
23.56422,87.2830716667,106.50,1,1
23.5642166667,87.2830716667,106.90,141,1
23.5642116667,87.2830716667,107.00,134,1
23.5642116667,87.2830883333,107.20,52,1
23.5642083333,87.2830883333,107.30,114,1
23.5642033333,87.2830883333,107.60,233,1
23.5642,87.2830883333,108.30,99,1
23.5642,87.283105,108.60,14,1
23.5641966667,87.283105,108.60,2,1
23.5641883333,87.2831216667,109.50,2,1
23.56418,87.2831366667,109.90,10,1
23.564135,87.2832183333,109.80,1,1
23.5639316667,87.28382,101.10,1,1
23.5639266667,87.28382,100.70,4,1
23.56392,87.28382,100.60,1,1
23.55933,87.2847,88.40,69,1
23.555085,87.2856933333,90.30,87,1
23.5550816667,87.2857083333,90.40,1,1
23.5511716667,87.2860016667,87.30,27,1
23.5511666667,87.285985,87.20,1,1
23.5511583333,87.285985,87.10,1,1
23.551155,87.285985,87.20,1,1
23.55006,87.2851066667,86.50,8,1
23.547065,87.28273,82.80,1,1
23.54707,87.28273,83.10,1,1
23.547065,87.28273,83.10,6,1
23.537535,87.2967766667,93.10,22,1
23.53677,87.29624,95.90,10,1
23.5367666667,87.29624,95.70,1,1
23.5367583333,87.29624,95.70,1,1
23.5354816667,87.2972483333,90.00,25,1
23.5356116667,87.2974116667,87.90,1,1
23.5356933333,87.2975416667,88.00,1,1
23.5357216667,87.29759,89.20,41,1
23.5357283333,87.297655,89.70,1,1
23.5357333333,87.2976716667,89.80,1,1
23.5357283333,87.2976883333,90.00,1,1
23.535725,87.297705,90.50,1,1
23.5357216667,87.297705,90.60,2,1
23.5357133333,87.297705,90.90,33,1
23.5357133333,87.29772,91.10,1,1
23.5357216667,87.2977366667,91.20,2,1
23.535725,87.2977533333,91.70,54,1
23.5357283333,87.2977533333,92.00,2,1
23.5357366667,87.29777,92.30,2,1
23.5357416667,87.29777,92.50,43,1
23.5357416667,87.297785,92.60,61,1
23.5357366667,87.2978016667,92.80,30,1
23.5281966667,87.311165,102.70,6,1
23.527095,87.31118,98.80,70,1
23.5259966667,87.31118,101.90,7,1
23.5192733333,87.3112616667,103.20,1,1
23.5112133333,87.3106433333,93.40,1,1
23.5002766667,87.306005,83.80,3,1
23.5002716667,87.306005,84.20,5,1
23.4946816667,87.316845,71.10,1,1
