latitude, longitude, time-stamp, count, trail_number, local_group_number
23.5641716667,87.28304,95.50,947,7,1
23.559395,87.284635,88.00,52,7,2
23.5578933333,87.285465,91.00,13,7,3
23.555025,87.2857083333,87.90,11,7,4
23.55395,87.2863433333,85.00,9,7,5
23.5500283333,87.28509,79.80,19,7,6
23.5481716667,87.283625,75.00,14,7,7
23.5470416667,87.2827133333,77.10,2,7,8
23.54416,87.28369,79.30,13,7,9
23.54298,87.2904933333,86.00,5,7,10
23.5393916667,87.2930816667,81.90,17,7,11
23.5375233333,87.2967766667,92.20,52,7,12
23.53599,87.2958333333,88.60,12,7,13
23.5357216667,87.297835,84.40,267,7,14
23.5272933333,87.3111483333,103.80,18,7,15
23.5193466667,87.3112616667,107.40,72,7,16
23.510815,87.3106933333,95.20,3,7,17
23.50362,87.3077133333,88.60,14,7,18
23.500345,87.3059716667,86.50,3,7,19
23.4965116667,87.3134916667,75.10,5,7,20
