Latitude,Longitude,Elevation,Time
23.5642116667,87.28291,93.10,7:49:19.0
23.5642116667,87.28291,93.20,7:49:20.0
23.5642116667,87.28291,93.20,7:49:21.0
23.5642116667,87.28291,93.20,7:49:22.0
23.5642116667,87.28291,93.20,7:49:23.0
23.5642116667,87.28291,93.20,7:49:24.0
23.5642116667,87.28291,93.20,7:49:25.0
23.5642116667,87.28291,93.20,7:49:26.0
23.5642116667,87.28291,93.20,7:49:27.0
23.5642116667,87.28291,93.20,7:49:28.0
23.5642116667,87.28291,93.20,7:49:29.0
23.5642116667,87.28291,93.20,7:49:30.0
23.5642116667,87.28291,93.20,7:49:31.0
23.5642116667,87.28291,93.30,7:49:32.0
23.5642116667,87.28291,93.30,7:49:33.0
23.5642116667,87.28291,93.30,7:49:34.0
23.5642116667,87.28291,93.30,7:49:35.0
23.5642116667,87.28291,93.30,7:49:36.0
23.5642116667,87.28291,93.30,7:49:37.0
23.5642116667,87.28291,93.30,7:49:38.0
23.5642116667,87.28291,93.30,7:49:39.0
23.5642116667,87.28291,93.30,7:49:40.0
23.5642116667,87.28291,93.30,7:49:41.0
23.5642116667,87.28291,93.30,7:49:42.0
23.5642116667,87.28291,93.30,7:49:43.0
23.5642116667,87.28291,93.30,7:49:44.0
23.5642116667,87.28291,93.30,7:49:45.0
23.5642116667,87.282925,93.30,7:49:46.0
23.5642116667,87.282925,93.30,7:49:47.0
23.5642116667,87.282925,93.30,7:49:48.0
23.5642116667,87.282925,93.30,7:49:49.0
23.5642116667,87.282925,93.30,7:49:50.0
23.5642116667,87.282925,93.40,7:49:51.0
23.5642116667,87.282925,93.40,7:49:52.0
23.5642116667,87.282925,93.40,7:49:53.0
23.5642116667,87.282925,93.40,7:49:54.0
23.5642116667,87.282925,93.40,7:49:55.0
23.5642116667,87.282925,93.40,7:49:56.0
23.5642116667,87.282925,93.40,7:49:57.0
23.5642116667,87.282925,93.40,7:49:58.0
23.5642116667,87.282925,93.40,7:49:59.0
23.5642116667,87.282925,93.40,7:50:0.0
23.5642116667,87.282925,93.50,7:50:1.0
23.5642116667,87.282925,93.50,7:50:2.0
23.5642116667,87.282925,93.50,7:50:3.0
23.5642116667,87.282925,93.50,7:50:4.0
23.5642116667,87.282925,93.50,7:50:5.0
23.5642116667,87.282925,93.50,7:50:6.0
23.5642116667,87.282925,93.50,7:50:7.0
23.5642116667,87.282925,93.50,7:50:8.0
23.5642116667,87.282925,93.50,7:50:9.0
23.5642116667,87.282925,93.50,7:50:10.0
23.5642116667,87.282925,93.50,7:50:11.0
23.5642116667,87.282925,93.60,7:50:12.0
23.5642116667,87.282925,93.60,7:50:13.0
23.5642116667,87.282925,93.60,7:50:14.0
23.5642116667,87.282925,93.60,7:50:15.0
23.5642116667,87.282925,93.60,7:50:16.0
23.5642116667,87.282925,93.60,7:50:17.0
23.5642116667,87.282925,93.60,7:50:18.0
23.5642116667,87.282925,93.60,7:50:19.0
23.5642116667,87.282925,93.60,7:50:20.0
23.5642116667,87.282925,93.60,7:50:21.0
23.5642116667,87.282925,93.30,7:50:22.0
23.5642116667,87.28291,93.00,7:50:23.0
23.5642116667,87.28291,92.70,7:50:24.0
23.5642116667,87.28291,92.60,7:50:25.0
23.5642116667,87.28291,92.50,7:50:26.0
23.5642116667,87.28291,92.40,7:50:27.0
23.5642116667,87.28291,92.30,7:50:28.0
23.5642116667,87.28291,92.30,7:50:29.0
23.5642116667,87.28291,92.20,7:50:30.0
23.5642116667,87.28291,92.20,7:50:31.0
23.5642116667,87.28291,92.20,7:50:32.0
23.5642116667,87.28291,92.30,7:50:33.0
23.5642116667,87.28291,92.30,7:50:34.0
23.5642116667,87.28291,92.30,7:50:35.0
23.5642116667,87.28291,92.30,7:50:36.0
23.5642116667,87.28291,92.30,7:50:37.0
23.5642116667,87.28291,92.30,7:50:38.0
23.5642116667,87.28291,92.30,7:50:39.0
23.5642116667,87.28291,92.30,7:50:40.0
23.5642116667,87.28291,92.30,7:50:41.0
23.5642116667,87.28291,92.30,7:50:42.0
23.5642116667,87.28291,92.30,7:50:43.0
23.5642116667,87.28291,92.30,7:50:44.0
23.5642116667,87.28291,92.30,7:50:45.0
23.5642116667,87.28291,92.30,7:50:46.0
23.5642116667,87.28291,92.40,7:50:47.0
23.5642116667,87.28291,92.40,7:50:48.0
23.5642116667,87.28291,92.40,7:50:49.0
23.5642116667,87.28291,92.40,7:50:50.0
23.5642116667,87.28291,92.40,7:50:51.0
23.5642116667,87.28291,92.40,7:50:52.0
23.5642116667,87.28291,92.40,7:50:53.0
23.5642116667,87.28291,92.40,7:50:54.0
23.5642116667,87.28291,92.40,7:50:55.0
23.5642116667,87.28291,92.50,7:50:56.0
23.5642116667,87.28291,92.50,7:50:57.0
23.5642116667,87.28291,92.50,7:50:58.0
23.5642116667,87.28291,92.50,7:50:59.0
23.5642116667,87.28291,92.50,7:51:0.0
23.5642116667,87.28291,92.50,7:51:1.0
23.5642116667,87.28291,92.50,7:51:2.0
23.5642116667,87.28291,92.50,7:51:3.0
23.5642116667,87.28291,92.50,7:51:4.0
