Latitude,Longitude,Elevation,Time
23.56424,87.2829583333,101.40,4:45:59.0
23.56424,87.2829583333,101.40,4:46:0.0
23.56424,87.2829583333,101.40,4:46:1.0
23.56424,87.2829583333,101.40,4:46:2.0
23.56424,87.2829583333,101.40,4:46:3.0
23.56424,87.2829583333,101.40,4:46:4.0
23.56424,87.2829583333,101.40,4:46:5.0
23.56424,87.2829583333,101.40,4:46:6.0
23.56424,87.2829583333,101.40,4:46:7.0
23.56424,87.2829583333,101.40,4:46:8.0
23.56424,87.2829583333,101.40,4:46:9.0
23.56424,87.2829583333,101.40,4:46:10.0
23.56424,87.2829583333,101.40,4:46:11.0
23.56424,87.2829583333,101.40,4:46:12.0
23.56424,87.2829583333,101.40,4:46:13.0
23.56424,87.2829583333,101.40,4:46:14.0
23.56424,87.2829583333,101.40,4:46:15.0
23.56424,87.2829583333,101.40,4:46:16.0
23.56424,87.2829583333,101.40,4:46:17.0
23.56424,87.2829583333,101.40,4:46:18.0
23.56424,87.2829583333,101.40,4:46:19.0
23.56424,87.2829583333,101.40,4:46:20.0
23.56424,87.2829583333,101.40,4:46:21.0
23.56424,87.2829583333,101.40,4:46:22.0
23.56424,87.2829583333,101.40,4:46:23.0
23.56424,87.2829583333,101.40,4:46:24.0
23.56424,87.2829583333,101.40,4:46:25.0
23.56424,87.2829583333,101.40,4:46:26.0
23.56424,87.2829583333,101.40,4:46:27.0
23.56424,87.2829583333,101.40,4:46:28.0
23.56424,87.2829583333,101.40,4:46:29.0
23.56424,87.2829583333,101.40,4:46:30.0
23.56424,87.2829583333,101.40,4:46:31.0
23.56424,87.2829583333,101.50,4:46:32.0
23.56424,87.2829583333,101.50,4:46:33.0
23.56424,87.2829583333,101.50,4:46:34.0
23.56424,87.2829583333,101.50,4:46:35.0
23.56424,87.2829583333,101.50,4:46:36.0
23.56424,87.2829583333,101.50,4:46:37.0
23.56424,87.2829583333,101.50,4:46:38.0
23.56424,87.2829583333,101.50,4:46:39.0
23.56424,87.2829583333,101.50,4:46:40.0
23.56424,87.2829583333,101.50,4:46:41.0
23.56424,87.2829583333,101.50,4:46:42.0
23.56424,87.2829583333,101.50,4:46:43.0
23.56424,87.2829583333,101.50,4:46:44.0
23.56424,87.2829583333,101.50,4:46:45.0
23.56424,87.2829583333,101.50,4:46:46.0
23.56424,87.2829583333,101.50,4:46:47.0
23.56424,87.2829583333,101.50,4:46:48.0
23.56424,87.2829583333,101.50,4:46:49.0
23.56424,87.2829583333,101.50,4:46:50.0
23.56424,87.2829583333,101.50,4:46:51.0
23.56424,87.2829583333,101.50,4:46:52.0
23.56424,87.2829583333,101.50,4:46:53.0
23.56424,87.2829583333,101.50,4:46:54.0
23.56424,87.2829583333,101.50,4:46:55.0
23.56424,87.2829583333,101.50,4:46:56.0
23.56424,87.2829583333,101.50,4:46:57.0
23.56424,87.2829583333,101.50,4:46:58.0
23.56424,87.2829583333,101.50,4:46:59.0
23.56424,87.2829583333,101.50,4:47:0.0
23.56424,87.2829583333,101.50,4:47:1.0
23.56424,87.2829583333,101.50,4:47:2.0
23.56424,87.2829583333,101.50,4:47:3.0
23.56424,87.2829583333,101.50,4:47:4.0
23.56424,87.2829583333,101.50,4:47:5.0
23.56424,87.2829583333,101.50,4:47:6.0
23.56424,87.2829583333,101.50,4:47:7.0
23.56424,87.2829583333,101.50,4:47:8.0
23.56424,87.2829583333,101.50,4:47:9.0
23.56424,87.2829583333,101.50,4:47:10.0
23.56424,87.2829583333,101.50,4:47:11.0
23.56424,87.2829583333,101.50,4:47:12.0
23.56424,87.2829583333,101.50,4:47:13.0
23.56424,87.2829583333,101.50,4:47:14.0
23.56424,87.2829583333,101.50,4:47:15.0
23.56424,87.2829583333,101.50,4:47:16.0
23.56424,87.2829583333,101.50,4:47:17.0
23.56424,87.2829583333,101.50,4:47:18.0
23.56424,87.2829583333,101.50,4:47:19.0
23.56424,87.2829583333,101.50,4:47:20.0
23.564245,87.2829583333,101.50,4:47:21.0
23.564245,87.2829583333,101.50,4:47:22.0
23.564245,87.2829583333,101.50,4:47:23.0
23.564245,87.2829583333,101.50,4:47:24.0
23.564245,87.2829583333,101.50,4:47:25.0
23.564245,87.2829583333,101.50,4:47:26.0
23.564245,87.282975,101.50,4:47:27.0
23.564245,87.282975,101.50,4:47:28.0
23.564245,87.282975,101.50,4:47:29.0
23.564245,87.282975,101.50,4:47:30.0
23.564245,87.282975,101.50,4:47:31.0
23.564245,87.282975,101.50,4:47:32.0
23.564245,87.282975,101.50,4:47:33.0
23.564245,87.282975,101.50,4:47:34.0
23.564245,87.282975,101.50,4:47:35.0
23.564245,87.282975,101.50,4:47:36.0
23.564245,87.282975,101.50,4:47:37.0
23.564245,87.282975,101.50,4:47:38.0
23.564245,87.282975,101.50,4:47:39.0
23.564245,87.282975,101.50,4:47:40.0
23.564245,87.282975,101.50,4:47:41.0
23.564245,87.282975,101.50,4:47:42.0
23.564245,87.282975,101.50,4:47:43.0
23.564245,87.282975,101.50,4:47:44.0
23.564245,87.282975,101.50,4:47:45.0
23.564245,87.282975,101.50,4:47:46.0
23.564245,87.282975,101.50,4:47:47.0
23.564245,87.282975,101.60,4:47:48.0
23.564245,87.282975,101.60,4:47:49.0
23.564245,87.282975,101.60,4:47:50.0
23.564245,87.282975,101.60,4:47:51.0
23.564245,87.282975,101.60,4:47:52.0
23.564245,87.282975,101.60,4:47:53.0
23.564245,87.282975,101.60,4:47:54.0
23.564245,87.282975,101.60,4:47:55.0
23.564245,87.282975,101.60,4:47:56.0
23.564245,87.282975,101.60,4:47:57.0
23.564245,87.282975,101.60,4:47:58.0
23.564245,87.282975,101.60,4:47:59.0
23.564245,87.282975,101.60,4:48:0.0
23.564245,87.282975,101.60,4:48:1.0
23.564245,87.282975,101.60,4:48:2.0
23.564245,87.282975,101.60,4:48:3.0
23.564245,87.282975,101.60,4:48:4.0
23.564245,87.282975,101.60,4:48:5.0
23.564245,87.282975,101.60,4:48:6.0
23.564245,87.282975,101.60,4:48:7.0
23.564245,87.282975,101.60,4:48:8.0
23.564245,87.282975,101.60,4:48:9.0
23.564245,87.282975,101.60,4:48:10.0
23.564245,87.282975,101.60,4:48:11.0
23.564245,87.282975,101.60,4:48:12.0
23.564245,87.282975,101.60,4:48:13.0
23.564245,87.282975,101.60,4:48:14.0
23.564245,87.282975,101.60,4:48:15.0
23.564245,87.282975,101.60,4:48:16.0
23.564245,87.282975,101.60,4:48:17.0
23.564245,87.282975,101.60,4:48:18.0
23.564245,87.282975,101.60,4:48:19.0
23.564245,87.282975,101.70,4:48:20.0
23.564245,87.282975,101.70,4:48:21.0
23.564245,87.282975,101.70,4:48:22.0
23.564245,87.282975,101.70,4:48:23.0
23.564245,87.282975,101.70,4:48:24.0
23.564245,87.282975,101.70,4:48:25.0
23.564245,87.282975,101.70,4:48:26.0
23.564245,87.282975,101.70,4:48:27.0
23.564245,87.282975,101.70,4:48:28.0
23.564245,87.282975,101.70,4:48:29.0
23.564245,87.282975,101.70,4:48:30.0
23.564245,87.282975,101.70,4:48:31.0
23.564245,87.282975,101.70,4:48:32.0
23.564245,87.282975,101.70,4:48:33.0
23.564245,87.282975,101.70,4:48:34.0
23.564245,87.282975,101.70,4:48:35.0
23.564245,87.282975,101.70,4:48:36.0
23.564245,87.282975,101.70,4:48:37.0
23.564245,87.282975,101.70,4:48:38.0
23.564245,87.282975,101.70,4:48:39.0
23.564245,87.282975,101.70,4:48:40.0
23.564245,87.282975,101.70,4:48:41.0
23.564245,87.282975,101.70,4:48:42.0
23.564245,87.282975,101.70,4:48:43.0
23.564245,87.282975,101.70,4:48:44.0
23.564245,87.282975,101.70,4:48:45.0
23.564245,87.282975,101.70,4:48:46.0
