Latitude,Longitude,Elevation,Time
23.56424,87.2830716667,94.10,2:44:0.0
23.56424,87.2830716667,94.10,2:44:1.0
23.56424,87.2830716667,94.10,2:44:2.0
23.56424,87.2830716667,94.10,2:44:3.0
23.56424,87.2830716667,94.20,2:44:4.0
23.56424,87.2830716667,94.20,2:44:5.0
23.56424,87.2830716667,94.20,2:44:6.0
23.56424,87.2830716667,94.20,2:44:7.0
23.56424,87.2830716667,94.20,2:44:8.0
23.56424,87.2830716667,94.20,2:44:9.0
23.56424,87.2830716667,94.20,2:44:10.0
23.56424,87.2830716667,94.20,2:44:11.0
23.56424,87.2830716667,94.20,2:44:12.0
23.56424,87.2830716667,94.20,2:44:13.0
23.56424,87.2830716667,94.20,2:44:14.0
23.56424,87.2830716667,94.20,2:44:15.0
23.56424,87.2830716667,94.20,2:44:16.0
23.56424,87.2830716667,94.20,2:44:17.0
23.56424,87.2830716667,94.20,2:44:18.0
23.56424,87.2830716667,94.20,2:44:19.0
23.56424,87.2830716667,94.20,2:44:20.0
23.56424,87.2830716667,94.20,2:44:21.0
23.56424,87.2830716667,94.20,2:44:22.0
23.56424,87.2830716667,94.20,2:44:23.0
23.56424,87.2830716667,94.30,2:44:24.0
23.56424,87.2830716667,94.30,2:44:25.0
23.56424,87.2830716667,94.30,2:44:26.0
23.56424,87.2830716667,94.30,2:44:27.0
23.56424,87.2830716667,94.30,2:44:28.0
23.56424,87.2830716667,94.30,2:44:29.0
23.56424,87.2830716667,94.30,2:44:30.0
23.56424,87.2830716667,94.30,2:44:31.0
23.56424,87.2830716667,94.30,2:44:32.0
23.56424,87.2830716667,94.30,2:44:33.0
23.56424,87.2830716667,94.30,2:44:34.0
23.56424,87.2830716667,94.30,2:44:35.0
23.56424,87.2830716667,94.30,2:44:36.0
23.56424,87.2830716667,94.30,2:44:37.0
23.56424,87.2830716667,94.30,2:44:38.0
23.56424,87.2830716667,94.30,2:44:39.0
23.56424,87.2830716667,94.30,2:44:40.0
23.56424,87.2830716667,94.30,2:44:41.0
23.56424,87.2830716667,94.30,2:44:42.0
23.56424,87.2830716667,94.30,2:44:43.0
23.56424,87.2830716667,94.30,2:44:44.0
23.56424,87.2830716667,94.30,2:44:45.0
23.56424,87.2830716667,94.30,2:44:46.0
23.56424,87.2830716667,94.30,2:44:47.0
23.56424,87.2830716667,94.30,2:44:48.0
