Latitude,Longitude,Elevation,Time
23.564335,87.282925,100.50,7:58:52.0
23.564335,87.282925,100.50,7:58:53.0
23.564335,87.282925,100.50,7:58:54.0
23.564335,87.282925,100.50,7:58:55.0
23.564335,87.282925,100.50,7:58:56.0
23.564335,87.282925,100.50,7:58:57.0
23.564335,87.282925,100.50,7:58:58.0
23.564335,87.282925,100.50,7:58:59.0
23.564335,87.282925,100.50,7:59:0.0
23.564335,87.282925,100.50,7:59:1.0
23.564335,87.282925,100.50,7:59:2.0
23.564335,87.282925,100.50,7:59:3.0
23.564335,87.282925,100.50,7:59:4.0
23.564335,87.282925,100.50,7:59:5.0
23.564335,87.282925,100.50,7:59:6.0
23.564335,87.282925,100.50,7:59:7.0
23.564335,87.282925,100.50,7:59:8.0
23.564335,87.282925,100.50,7:59:9.0
23.564335,87.282925,100.50,7:59:10.0
23.564335,87.282925,100.50,7:59:11.0
23.564335,87.282925,100.50,7:59:12.0
23.564335,87.282925,100.50,7:59:13.0
23.564335,87.282925,100.50,7:59:14.0
23.564335,87.282925,100.50,7:59:15.0
23.564335,87.282925,100.50,7:59:16.0
23.564335,87.282925,100.50,7:59:17.0
23.564335,87.282925,100.50,7:59:18.0
23.564335,87.282925,100.50,7:59:19.0
23.564335,87.282925,100.50,7:59:20.0
23.564335,87.282925,100.50,7:59:21.0
23.564335,87.282925,100.50,7:59:22.0
23.564335,87.282925,100.50,7:59:23.0
23.564335,87.282925,100.50,7:59:24.0
23.564335,87.282925,100.50,7:59:25.0
23.564335,87.282925,100.50,7:59:26.0
23.564335,87.282925,100.50,7:59:27.0
23.564335,87.282925,100.50,7:59:28.0
23.564335,87.282925,100.50,7:59:29.0
23.564335,87.282925,100.50,7:59:30.0
23.564335,87.282925,100.50,7:59:31.0
23.564335,87.282925,100.50,7:59:32.0
23.564335,87.282925,100.50,7:59:33.0
23.564335,87.282925,100.50,7:59:34.0
23.564335,87.282925,100.50,7:59:35.0
23.564335,87.282925,100.50,7:59:36.0
23.564335,87.282925,100.50,7:59:37.0
23.564335,87.282925,100.50,7:59:38.0
23.564335,87.282925,100.50,7:59:39.0
23.564335,87.282925,100.50,7:59:40.0
23.564335,87.282925,100.50,7:59:41.0
23.564335,87.282925,100.50,7:59:42.0
23.564335,87.282925,100.50,7:59:43.0
23.564335,87.282925,100.50,7:59:44.0
23.564335,87.282925,100.50,7:59:45.0
23.564335,87.282925,100.50,7:59:46.0
23.564335,87.282925,100.50,7:59:47.0
23.564335,87.282925,100.50,7:59:48.0
23.564335,87.282925,100.50,7:59:49.0
23.564335,87.282925,100.50,7:59:50.0
23.564335,87.282925,100.50,7:59:51.0
23.564335,87.282925,100.50,7:59:52.0
23.564335,87.282925,100.50,7:59:53.0
23.564335,87.282925,100.50,7:59:54.0
23.564335,87.282925,100.50,7:59:55.0
23.564335,87.282925,100.50,7:59:56.0
23.564335,87.282925,100.50,7:59:57.0
23.564335,87.282925,100.50,7:59:58.0
23.5643266667,87.282925,100.50,7:59:59.0
23.5643266667,87.282925,100.50,8:0:0.0
23.5643133333,87.2829416667,100.30,8:0:1.0
23.564305,87.2829583333,100.10,8:0:2.0
23.5642983333,87.282975,99.90,8:0:3.0
23.5642933333,87.28299,99.70,8:0:4.0
23.56429,87.2830066667,99.70,8:0:5.0
23.5642766667,87.28304,99.60,8:0:6.0
23.56427,87.283055,99.50,8:0:7.0
23.5642616667,87.2830716667,99.50,8:0:8.0
23.5642533333,87.2830883333,99.30,8:0:9.0
23.5642483333,87.283105,99.20,8:0:10.0
23.564245,87.2831216667,99.00,8:0:11.0
23.56424,87.2831366667,98.90,8:0:12.0
23.56424,87.2831533333,98.80,8:0:13.0
23.5642366667,87.28317,98.70,8:0:14.0
23.5642283333,87.2831866667,98.70,8:0:15.0
23.56422,87.2832016667,98.70,8:0:16.0
23.5642116667,87.2832183333,98.60,8:0:17.0
23.5642,87.283235,98.50,8:0:18.0
23.5641883333,87.2832516667,98.60,8:0:19.0
23.564175,87.2832666667,98.50,8:0:20.0
23.5641666667,87.2832833333,98.50,8:0:21.0
23.56416,87.2833,98.50,8:0:22.0
23.5641516667,87.2833166667,98.40,8:0:23.0
23.5641433333,87.2833333333,98.40,8:0:24.0
23.5641383333,87.2833483333,98.10,8:0:25.0
23.5641316667,87.283365,98.20,8:0:26.0
23.5641266667,87.2833816667,98.00,8:0:27.0
23.5641183333,87.2834133333,98.00,8:0:28.0
23.5641066667,87.28343,97.90,8:0:29.0
23.5640983333,87.2834466667,97.90,8:0:30.0
23.56409,87.2834783333,97.80,8:0:31.0
23.5640866667,87.283495,97.70,8:0:32.0
23.5640783333,87.2835116667,97.60,8:0:33.0
23.56407,87.2835433333,97.50,8:0:34.0
23.5640616667,87.28356,97.40,8:0:35.0
23.56405,87.2835933333,98.10,8:0:36.0
23.5640366667,87.283625,98.60,8:0:37.0
23.564025,87.2836583333,99.40,8:0:38.0
23.5640166667,87.28369,100.10,8:0:39.0
23.5640083333,87.2837233333,100.40,8:0:40.0
23.564,87.283755,100.60,8:0:41.0
23.5639966667,87.2837883333,100.70,8:0:42.0
23.564,87.283805,100.30,8:0:43.0
23.564,87.28382,100.20,8:0:44.0
23.564005,87.2838366667,100.10,8:0:45.0
23.564,87.2838366667,99.90,8:0:46.0
23.564,87.2838366667,100.00,8:0:47.0
23.564,87.2838366667,100.10,8:0:48.0
23.564,87.2838366667,100.10,8:0:49.0
23.564,87.2838366667,100.00,8:0:50.0
23.564,87.2838366667,100.00,8:0:51.0
23.564,87.2838366667,100.00,8:0:52.0
23.564005,87.2838366667,100.00,8:0:53.0
23.564005,87.2838366667,100.00,8:0:54.0
23.564005,87.2838366667,100.00,8:0:55.0
23.564005,87.2838366667,100.00,8:0:56.0
23.564005,87.2838366667,100.00,8:0:57.0
23.564005,87.2838366667,100.00,8:0:58.0
23.564005,87.2838366667,100.00,8:0:59.0
23.564005,87.2838366667,100.00,8:1:0.0
23.564005,87.2838366667,100.00,8:1:1.0
23.564005,87.2838366667,100.00,8:1:2.0
23.564005,87.2838366667,100.00,8:1:3.0
23.564005,87.2838366667,100.00,8:1:4.0
23.564005,87.2838366667,100.00,8:1:5.0
23.564005,87.2838366667,100.00,8:1:6.0
23.564005,87.2838366667,100.00,8:1:7.0
23.564005,87.2838366667,100.00,8:1:8.0
23.564005,87.2838366667,100.00,8:1:9.0
23.564005,87.2838366667,100.00,8:1:10.0
23.564005,87.2838366667,100.00,8:1:11.0
23.564005,87.2838366667,100.00,8:1:12.0
23.564005,87.2838366667,100.00,8:1:13.0
23.564005,87.2838366667,100.00,8:1:14.0
23.5640083333,87.2838533333,100.00,8:1:15.0
23.5640083333,87.2838533333,100.00,8:1:16.0
23.5640083333,87.2838533333,100.00,8:1:17.0
23.5640083333,87.2838533333,100.00,8:1:18.0
23.5640083333,87.2838533333,100.00,8:1:19.0
23.5640083333,87.2838533333,100.00,8:1:20.0
23.5640083333,87.2838533333,100.00,8:1:21.0
23.5640083333,87.2838533333,100.00,8:1:22.0
23.5640083333,87.2838533333,100.00,8:1:23.0
23.5640133333,87.2838533333,100.10,8:1:24.0
23.5640133333,87.2838533333,100.10,8:1:25.0
23.5640133333,87.2838533333,100.10,8:1:26.0
23.5640133333,87.2838533333,100.10,8:1:27.0
23.5640133333,87.2838533333,100.10,8:1:28.0
23.5640133333,87.2838533333,100.10,8:1:29.0
23.5640216667,87.2838533333,100.00,8:1:30.0
23.5640366667,87.2838533333,99.60,8:1:31.0
23.5640783333,87.28387,99.50,8:1:32.0
23.5641066667,87.2838866667,100.00,8:1:33.0
23.564135,87.2839016667,100.40,8:1:34.0
23.56416,87.2839016667,99.20,8:1:35.0
23.5641966667,87.2839183333,99.10,8:1:36.0
23.5642333333,87.2839183333,99.50,8:1:37.0
23.56427,87.283935,99.50,8:1:38.0
23.5643016667,87.283935,99.40,8:1:39.0
23.5643383333,87.2839516667,99.30,8:1:40.0
23.5643783333,87.2839666667,99.40,8:1:41.0
23.56442,87.2839833333,99.40,8:1:42.0
23.564465,87.2839833333,99.20,8:1:43.0
23.5645016667,87.284,99.20,8:1:44.0
23.56453,87.284,99.20,8:1:45.0
23.56455,87.2840166667,99.30,8:1:46.0
23.564575,87.2840166667,99.30,8:1:47.0
23.5645983333,87.2840316667,99.10,8:1:48.0
23.5646266667,87.2840483333,99.20,8:1:49.0
23.5646633333,87.284065,99.50,8:1:50.0
23.5647,87.2840816667,99.60,8:1:51.0
23.5647366667,87.2840966667,99.60,8:1:52.0
23.5647816667,87.2841133333,100.00,8:1:53.0
23.5648233333,87.2841133333,100.20,8:1:54.0
23.56486,87.28413,100.10,8:1:55.0
23.564895,87.2841466667,100.30,8:1:56.0
23.564925,87.2841633333,99.90,8:1:57.0
23.5649533333,87.2841783333,99.60,8:1:58.0
23.564985,87.284195,99.60,8:1:59.0
23.5650183333,87.284195,99.70,8:2:0.0
23.565055,87.2842116667,99.70,8:2:1.0
23.565095,87.2842283333,99.20,8:2:2.0
23.5651366667,87.28426,99.00,8:2:3.0
23.565185,87.2842766667,99.10,8:2:4.0
23.5652383333,87.2842933333,99.00,8:2:5.0
23.5652866667,87.2843083333,99.00,8:2:6.0
23.5653316667,87.284325,99.30,8:2:7.0
23.5653766667,87.2843416667,99.60,8:2:8.0
23.56542,87.2843416667,100.00,8:2:9.0
23.5654616667,87.2843583333,100.20,8:2:10.0
23.56549,87.2843583333,100.20,8:2:11.0
23.5655183333,87.2843583333,100.30,8:2:12.0
23.5655433333,87.2843583333,100.40,8:2:13.0
23.5655666667,87.2843416667,100.50,8:2:14.0
23.5655883333,87.284325,100.70,8:2:15.0
23.5656083333,87.2843083333,100.80,8:2:16.0
23.565625,87.2843083333,100.80,8:2:17.0
23.5656366667,87.2842933333,100.90,8:2:18.0
23.5656533333,87.2842933333,100.90,8:2:19.0
23.5656766667,87.2842933333,100.70,8:2:20.0
23.5657016667,87.2843083333,100.40,8:2:21.0
23.5657216667,87.284325,100.50,8:2:22.0
23.5657383333,87.2843416667,100.50,8:2:23.0
23.565755,87.2843583333,100.40,8:2:24.0
23.5657666667,87.284375,100.60,8:2:25.0
23.565775,87.2844066667,100.70,8:2:26.0
23.5657783333,87.2844233333,100.60,8:2:27.0
23.565775,87.284455,100.60,8:2:28.0
23.5657666667,87.2844716667,100.60,8:2:29.0
23.565755,87.284505,100.60,8:2:30.0
23.5657416667,87.28452,100.40,8:2:31.0
23.5657333333,87.2845533333,100.20,8:2:32.0
23.5657216667,87.284585,100.20,8:2:33.0
23.5657133333,87.2846183333,100.20,8:2:34.0
23.56571,87.2846516667,99.90,8:2:35.0
23.565705,87.2846833333,99.70,8:2:36.0
23.565705,87.2847166667,99.80,8:2:37.0
23.565705,87.2847483333,99.60,8:2:38.0
23.565705,87.2847816667,99.40,8:2:39.0
23.565705,87.2848133333,99.30,8:2:40.0
23.5657016667,87.2848466667,99.30,8:2:41.0
23.565705,87.2848783333,99.20,8:2:42.0
23.565705,87.284895,99.30,8:2:43.0
23.565705,87.2849116667,99.20,8:2:44.0
23.565705,87.2849116667,99.20,8:2:45.0
23.56571,87.2849116667,99.20,8:2:46.0
23.565705,87.2849116667,99.10,8:2:47.0
23.565705,87.2849116667,99.00,8:2:48.0
23.56571,87.2849116667,99.00,8:2:49.0
23.56571,87.2849116667,99.00,8:2:50.0
23.56571,87.2849116667,99.00,8:2:51.0
23.56571,87.2849116667,99.00,8:2:52.0
23.56571,87.2849116667,99.00,8:2:53.0
23.56571,87.2849116667,99.00,8:2:54.0
23.5657133333,87.2849116667,99.10,8:2:55.0
23.5657133333,87.2849116667,99.10,8:2:56.0
23.5657133333,87.2849116667,99.10,8:2:57.0
23.5657183333,87.2849116667,99.00,8:2:58.0
23.5657183333,87.2849116667,99.00,8:2:59.0
23.5657266667,87.2849116667,99.00,8:3:0.0
23.5657266667,87.2849116667,99.00,8:3:1.0
23.56573,87.2849116667,99.00,8:3:2.0
23.56573,87.2849116667,99.00,8:3:3.0
