Latitude,Longitude,Elevation,Time
23.564265,87.2829583333,88.00,11:13:13.0
23.564265,87.2829583333,88.00,11:13:14.0
23.564265,87.2829583333,88.00,11:13:15.0
23.564265,87.2829583333,88.00,11:13:16.0
23.564265,87.2829583333,88.10,11:13:17.0
23.564265,87.2829583333,88.10,11:13:18.0
23.564265,87.2829583333,88.10,11:13:19.0
23.564265,87.2829583333,88.10,11:13:20.0
23.564265,87.2829583333,88.10,11:13:21.0
23.564265,87.2829583333,88.10,11:13:22.0
23.564265,87.2829583333,88.10,11:13:23.0
23.564265,87.2829583333,88.10,11:13:24.0
23.564265,87.2829583333,88.10,11:13:25.0
23.564265,87.2829583333,88.10,11:13:26.0
23.564265,87.2829583333,88.10,11:13:27.0
23.564265,87.2829583333,88.10,11:13:28.0
23.564265,87.2829583333,88.10,11:13:29.0
23.5642616667,87.2829583333,88.10,11:13:30.0
23.5642616667,87.2829583333,88.10,11:13:31.0
23.5642616667,87.2829583333,88.10,11:13:32.0
23.5642616667,87.2829583333,88.10,11:13:33.0
23.5642616667,87.2829583333,88.10,11:13:34.0
23.5642616667,87.2829583333,88.10,11:13:35.0
23.5642616667,87.2829583333,88.10,11:13:36.0
23.5642616667,87.2829583333,88.10,11:13:37.0
23.5642616667,87.2829583333,88.10,11:13:38.0
23.5642616667,87.2829583333,88.10,11:13:39.0
23.5642616667,87.2829583333,88.10,11:13:40.0
23.5642616667,87.2829583333,88.10,11:13:41.0
23.5642616667,87.2829583333,88.10,11:13:42.0
23.5642616667,87.2829583333,88.10,11:13:43.0
23.5642616667,87.2829583333,88.10,11:13:44.0
23.5642616667,87.2829583333,88.10,11:13:45.0
23.5642616667,87.2829583333,88.10,11:13:46.0
23.5642616667,87.2829583333,88.10,11:13:47.0
23.5642616667,87.2829583333,88.10,11:13:48.0
23.5642616667,87.2829583333,88.10,11:13:49.0
23.5642616667,87.2829583333,88.10,11:13:50.0
23.5642616667,87.2829583333,88.10,11:13:51.0
23.5642616667,87.2829583333,88.10,11:13:52.0
23.5642616667,87.2829583333,88.10,11:13:53.0
23.5642616667,87.2829583333,88.10,11:13:54.0
23.5642616667,87.2829583333,88.10,11:13:55.0
23.5642616667,87.2829583333,88.10,11:13:56.0
23.5642616667,87.2829583333,88.10,11:13:57.0
23.5642616667,87.2829583333,88.10,11:13:58.0
23.5642616667,87.2829583333,88.10,11:13:59.0
23.5642616667,87.2829583333,88.10,11:14:0.0
23.5642616667,87.2829583333,88.10,11:14:1.0
23.5642616667,87.2829583333,88.10,11:14:2.0
23.5642616667,87.2829583333,88.10,11:14:3.0
23.5642616667,87.2829583333,88.10,11:14:4.0
23.5642616667,87.2829583333,88.10,11:14:5.0
23.5642616667,87.2829583333,88.10,11:14:6.0
23.5642616667,87.2829583333,88.10,11:14:7.0
23.5642616667,87.2829583333,88.10,11:14:8.0
23.5642616667,87.2829583333,88.10,11:14:9.0
23.5642616667,87.2829583333,88.00,11:14:10.0
23.5642616667,87.2829583333,88.00,11:14:11.0
23.5642616667,87.2829583333,88.00,11:14:12.0
23.5642616667,87.2829583333,88.00,11:14:13.0
23.5642616667,87.2829583333,88.00,11:14:14.0
23.5642616667,87.2829583333,88.00,11:14:15.0
23.5642616667,87.2829583333,88.00,11:14:16.0
23.5642616667,87.2829583333,88.00,11:14:17.0
23.5642616667,87.2829583333,88.00,11:14:18.0
23.5642616667,87.2829583333,88.00,11:14:19.0
23.5642616667,87.2829583333,88.00,11:14:20.0
23.5642616667,87.2829583333,88.00,11:14:21.0
23.5642616667,87.2829583333,88.00,11:14:22.0
23.5642616667,87.2829583333,88.00,11:14:23.0
23.5642616667,87.2829583333,88.00,11:14:24.0
23.5642616667,87.2829583333,88.00,11:14:25.0
23.5642616667,87.2829583333,88.00,11:14:26.0
23.5642616667,87.2829583333,88.00,11:14:27.0
23.5642616667,87.2829583333,88.00,11:14:28.0
23.5642616667,87.2829583333,88.00,11:14:29.0
23.5642616667,87.2829583333,88.00,11:14:30.0
23.5642616667,87.2829583333,88.00,11:14:31.0
23.5642616667,87.2829583333,88.00,11:14:32.0
23.5642616667,87.2829583333,88.10,11:14:33.0
23.5642616667,87.2829583333,88.10,11:14:34.0
23.5642616667,87.2829583333,88.10,11:14:35.0
23.5642616667,87.2829583333,88.10,11:14:36.0
23.5642616667,87.2829583333,88.10,11:14:37.0
23.5642616667,87.2829583333,88.00,11:14:38.0
23.5642616667,87.2829583333,88.10,11:14:39.0
23.5642616667,87.2829583333,88.00,11:14:40.0
23.5642616667,87.2829583333,88.00,11:14:41.0
23.5642616667,87.2829583333,88.10,11:14:42.0
23.5642616667,87.2829583333,88.10,11:14:43.0
23.5642616667,87.2829583333,88.10,11:14:44.0
23.5642616667,87.2829583333,88.10,11:14:45.0
23.5642616667,87.2829583333,88.10,11:14:46.0
23.5642616667,87.2829583333,88.00,11:14:47.0
23.5642616667,87.2829583333,88.00,11:14:48.0
23.5642616667,87.2829583333,88.00,11:14:49.0
23.5642616667,87.2829583333,88.00,11:14:50.0
23.5642616667,87.2829583333,88.00,11:14:51.0
23.5642616667,87.2829583333,88.00,11:14:52.0
23.5642616667,87.2829583333,88.00,11:14:53.0
23.5642616667,87.2829583333,88.00,11:14:54.0
23.5642616667,87.2829583333,88.00,11:14:55.0
23.5642616667,87.2829583333,88.00,11:14:56.0
23.5642616667,87.2829583333,88.00,11:14:57.0
23.5642616667,87.2829583333,88.00,11:14:58.0
23.5642616667,87.2829583333,88.00,11:14:59.0
23.5642616667,87.2829583333,88.00,11:15:0.0
23.5642616667,87.2829583333,88.00,11:15:1.0
23.5642616667,87.2829583333,88.00,11:15:2.0
23.5642616667,87.2829583333,88.00,11:15:3.0
23.5642616667,87.2829583333,88.00,11:15:4.0
23.5642616667,87.2829583333,88.00,11:15:5.0
23.5642616667,87.2829583333,88.00,11:15:6.0
23.5642616667,87.2829583333,88.00,11:15:7.0
23.5642616667,87.2829583333,88.00,11:15:8.0
23.5642616667,87.2829583333,88.00,11:15:9.0
23.5642616667,87.2829583333,88.00,11:15:10.0
23.5642616667,87.2829583333,88.00,11:15:11.0
23.5642616667,87.2829583333,88.00,11:15:12.0
23.5642616667,87.2829583333,88.00,11:15:13.0
