Latitude,Longitude,Elevation,Time
23.5641966667,87.2831216667,97.10,10:35:55.0
23.5641966667,87.2831216667,97.10,10:35:56.0
23.5641966667,87.2831216667,97.10,10:35:57.0
23.5641966667,87.2831216667,97.10,10:35:58.0
23.5641966667,87.2831216667,97.10,10:35:59.0
23.5641966667,87.2831216667,97.10,10:36:0.0
23.5641966667,87.2831216667,97.10,10:36:1.0
23.5641966667,87.2831216667,97.10,10:36:2.0
23.5641966667,87.2831216667,97.10,10:36:3.0
23.5641966667,87.2831216667,97.10,10:36:4.0
23.5641966667,87.2831216667,97.10,10:36:5.0
23.5641966667,87.2831216667,97.10,10:36:6.0
23.5641966667,87.2831216667,97.10,10:36:7.0
23.5641966667,87.2831216667,97.10,10:36:8.0
23.5641966667,87.2831216667,97.10,10:36:9.0
23.5641966667,87.2831216667,97.10,10:36:10.0
23.5641966667,87.2831216667,97.10,10:36:11.0
23.5641966667,87.2831216667,97.10,10:36:12.0
23.5641966667,87.2831216667,97.10,10:36:13.0
23.5641966667,87.2831216667,97.10,10:36:14.0
23.5641966667,87.2831216667,97.00,10:36:15.0
23.5641966667,87.2831216667,97.00,10:36:16.0
23.5641966667,87.2831216667,97.00,10:36:17.0
23.5641966667,87.2831216667,97.00,10:36:18.0
23.5641966667,87.2831216667,97.00,10:36:19.0
23.5641966667,87.2831216667,97.10,10:36:20.0
23.5641966667,87.2831216667,97.10,10:36:21.0
23.5641966667,87.2831216667,97.10,10:36:22.0
23.5641966667,87.2831216667,97.10,10:36:23.0
23.5641966667,87.2831216667,97.10,10:36:24.0
23.5641966667,87.2831216667,97.10,10:36:25.0
23.5641966667,87.2831216667,97.10,10:36:26.0
23.5641966667,87.2831216667,97.10,10:36:27.0
23.5641966667,87.2831216667,97.10,10:36:28.0
23.5641966667,87.2831216667,97.10,10:36:29.0
23.5641966667,87.2831216667,97.10,10:36:30.0
23.5641966667,87.2831216667,97.10,10:36:31.0
23.5641966667,87.2831216667,97.10,10:36:32.0
23.5641966667,87.2831216667,97.10,10:36:33.0
23.5641966667,87.2831216667,97.10,10:36:34.0
23.5641966667,87.2831216667,97.10,10:36:35.0
23.5641966667,87.2831216667,97.10,10:36:36.0
23.5641966667,87.2831216667,97.10,10:36:37.0
23.5641966667,87.2831216667,97.10,10:36:38.0
23.5641966667,87.2831216667,97.10,10:36:39.0
23.5641966667,87.2831216667,97.10,10:36:40.0
23.5641966667,87.2831216667,97.10,10:36:41.0
23.5641966667,87.2831216667,97.10,10:36:42.0
23.5641966667,87.2831216667,97.10,10:36:43.0
23.5641966667,87.2831216667,97.10,10:36:44.0
23.5641966667,87.2831216667,97.10,10:36:45.0
23.5641966667,87.2831216667,97.10,10:36:46.0
23.5641966667,87.2831216667,97.10,10:36:47.0
23.5641966667,87.2831216667,97.10,10:36:48.0
23.5641966667,87.2831216667,97.10,10:36:49.0
23.5641966667,87.2831216667,97.10,10:36:50.0
23.5641966667,87.2831216667,97.10,10:36:51.0
23.5641966667,87.2831216667,97.10,10:36:52.0
23.5641966667,87.2831216667,97.10,10:36:53.0
23.5641966667,87.2831216667,97.10,10:36:54.0
23.5641966667,87.2831216667,97.10,10:36:55.0
23.5641966667,87.2831216667,97.10,10:36:56.0
23.5641966667,87.2831216667,97.10,10:36:57.0
23.5641966667,87.2831216667,97.10,10:36:58.0
23.5641966667,87.2831216667,97.10,10:36:59.0
23.5641966667,87.2831216667,97.10,10:37:0.0
23.5641966667,87.2831216667,97.10,10:37:1.0
23.5641966667,87.2831216667,97.10,10:37:2.0
23.5641966667,87.2831216667,97.10,10:37:3.0
23.5641966667,87.2831216667,97.10,10:37:4.0
23.5641966667,87.2831216667,97.10,10:37:5.0
23.5641966667,87.2831216667,97.10,10:37:6.0
23.5641966667,87.2831216667,97.10,10:37:7.0
23.5641966667,87.2831216667,97.10,10:37:8.0
23.5641966667,87.2831216667,97.10,10:37:9.0
23.5641966667,87.2831216667,97.10,10:37:10.0
23.5641966667,87.2831216667,97.10,10:37:11.0
23.5641966667,87.2831216667,97.10,10:37:12.0
23.5641966667,87.2831216667,97.10,10:37:13.0
23.5641966667,87.2831216667,97.10,10:37:14.0
23.5641966667,87.2831216667,97.10,10:37:15.0
23.5641966667,87.2831216667,97.10,10:37:16.0
23.5641966667,87.2831216667,97.10,10:37:17.0
23.5641966667,87.2831216667,97.10,10:37:18.0
23.5641966667,87.2831216667,97.10,10:37:19.0
23.5641966667,87.2831216667,97.10,10:37:20.0
23.5641966667,87.2831216667,97.10,10:37:21.0
23.5641966667,87.2831216667,97.10,10:37:22.0
23.5641966667,87.2831216667,97.10,10:37:23.0
23.5641966667,87.2831216667,97.10,10:37:24.0
23.5641966667,87.2831216667,97.20,10:37:25.0
23.5641966667,87.2831216667,97.20,10:37:26.0
23.5641966667,87.2831216667,97.20,10:37:27.0
23.5641966667,87.2831216667,97.20,10:37:28.0
23.5641966667,87.2831216667,97.20,10:37:29.0
23.5641966667,87.2831216667,97.20,10:37:30.0
23.5641966667,87.2831216667,97.20,10:37:31.0
23.5641966667,87.2831216667,97.20,10:37:32.0
23.5641966667,87.2831216667,97.20,10:37:33.0
23.5641966667,87.2831216667,97.20,10:37:34.0
23.5641966667,87.2831216667,97.20,10:37:35.0
23.5641966667,87.2831216667,97.20,10:37:36.0
23.5641966667,87.2831216667,97.20,10:37:37.0
23.5641966667,87.2831216667,97.20,10:37:38.0
23.5641966667,87.2831216667,97.20,10:37:39.0
23.5641966667,87.2831216667,97.20,10:37:40.0
23.5641966667,87.2831216667,97.20,10:37:41.0
23.5641966667,87.2831216667,97.20,10:37:42.0
23.5641966667,87.2831216667,97.20,10:37:43.0
23.5641966667,87.2831216667,97.20,10:37:44.0
23.5641966667,87.2831216667,97.20,10:37:45.0
23.5641966667,87.2831216667,97.20,10:37:46.0
23.5641966667,87.2831216667,97.20,10:37:47.0
23.5641966667,87.2831216667,97.20,10:37:48.0
23.5641966667,87.2831216667,97.20,10:37:49.0
23.5641966667,87.2831216667,97.20,10:37:50.0
23.5641966667,87.2831216667,97.20,10:37:51.0
23.5641966667,87.2831216667,97.20,10:37:52.0
23.5641966667,87.2831216667,97.20,10:37:53.0
23.5641966667,87.2831216667,97.20,10:37:54.0
23.5641966667,87.2831216667,97.20,10:37:55.0
23.5641966667,87.2831216667,97.20,10:37:56.0
23.5641966667,87.2831216667,97.20,10:37:57.0
23.5641966667,87.2831216667,97.20,10:37:58.0
23.5641966667,87.2831216667,97.20,10:37:59.0
23.5641966667,87.2831216667,97.20,10:38:0.0
23.5641966667,87.2831216667,97.20,10:38:1.0
23.5641966667,87.2831216667,97.20,10:38:2.0
23.5641966667,87.2831216667,97.20,10:38:3.0
23.5641966667,87.2831216667,97.20,10:38:4.0
23.5641966667,87.2831216667,97.20,10:38:5.0
23.5641966667,87.2831216667,97.20,10:38:6.0
23.5641966667,87.2831216667,97.20,10:38:7.0
23.5641966667,87.2831216667,97.20,10:38:8.0
23.5641966667,87.2831216667,97.20,10:38:9.0
23.5641966667,87.2831216667,97.20,10:38:10.0
23.5641966667,87.2831216667,97.20,10:38:11.0
23.5641966667,87.2831216667,97.20,10:38:12.0
23.5641966667,87.2831216667,97.20,10:38:13.0
23.5641966667,87.2831216667,97.20,10:38:14.0
23.5641966667,87.2831216667,97.20,10:38:15.0
23.5641966667,87.2831216667,97.20,10:38:16.0
23.5641966667,87.2831216667,97.20,10:38:17.0
23.5641966667,87.2831216667,97.20,10:38:18.0
23.5641966667,87.2831216667,97.20,10:38:19.0
23.5641966667,87.2831216667,97.20,10:38:20.0
23.5641966667,87.2831216667,97.20,10:38:21.0
23.5641966667,87.2831216667,97.20,10:38:22.0
23.5641966667,87.2831216667,97.20,10:38:23.0
23.5641966667,87.2831216667,97.20,10:38:24.0
23.5641966667,87.2831216667,97.20,10:38:25.0
23.5641966667,87.2831216667,97.20,10:38:26.0
23.5641966667,87.2831216667,97.20,10:38:27.0
23.5641966667,87.2831216667,97.20,10:38:28.0
23.5641966667,87.2831216667,97.20,10:38:29.0
23.5641966667,87.2831216667,97.20,10:38:30.0
23.5641966667,87.2831216667,97.20,10:38:31.0
23.5641966667,87.2831216667,97.20,10:38:32.0
